"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"2435","Sobor","Nemes László","Független","Nemes László","Független","község","Győr-Moson-Sopron","Téti","1672",276,"151",0,"HH",2
"2436","Sokorópátka","Czibulya Balázs","Független","Mecséri Lajos","Független","község","Győr-Moson-Sopron","Téti","1686",1057,"484",0,"HH",2
"2437","Solt","Kalmár Pál","Fidesz - Magyar Polgári Szövetség","Gál József","Független","város","Bács-Kiskun","Kalocsai","13267",6359,"3002",1,"HH",1
"2438","Soltszentimre","Nagy István","Független","Kádár Németh István","Független","község","Bács-Kiskun","Kiskőrösi","4449",1265,"669",0,"HH",1
"2439","Soltvadkert","Lehoczki Ferenc","Fidesz - Magyar Polgári Szövetség","Lehoczki Ferenc Sándor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Bács-Kiskun","Kiskőrösi","10886",7482,"3382",1,"HH",1
"2440","Sóly","Bikádi László Károly","Független","Juhász Tibor","Független","község","Veszprém","Veszprémi","1028",474,"166",0,NA,NA
"2441","Solymár","Szente Kálmán","Fidesz - Magyar Polgári Szövetség","Szente Kálmán","Független","nagyközség","Pest","Pilisvörösvári","1786",10151,"3767",0,NA,NA
"2442","Som","Lenkey Tibor","Független","Lenkey Tibor","Független","község","Somogy","Siófoki","2335",680,"268",0,NA,NA
"2443","Somberek","Csoboth Tamás","Független","Csoboth Tamás","Független","község","Baranya","Mohácsi","3142",1407,"536",0,"HH",1
"2444","Somlójenő","Nemes Attila Antal","Független","Nemes Attila","Független","község","Veszprém","Devecseri","815",319,"142",1,"HH",3
"2445","Somlószőlős","Bodnár György","Független","Férheczliné Kató Györgyi","Független","község","Veszprém","Devecseri","1946",641,"322",1,"HH",3
"2446","Somlóvásárhely","Marton László","Fidesz - Magyar Polgári Szövetség","Marton László","Független","község","Veszprém","Devecseri","2321",1081,"455",1,"HH",3
"2447","Somlóvecse","Dittrich Gábor","Független","Bóna Sándor","Független","község","Veszprém","Devecseri","493",107,"62",0,"HH",3
"2448","Somodor","Makai Sándor","Független","Makai Sándor","Független","község","Somogy","Kaposvári","1991",405,"178",1,"HH",1
"2449","Somogyacsa","Lengyel Ferenc","Független","Lengyel Ferenc","Független","község","Somogy","Tabi","2446",155,"178",0,"LHH",1
"2450","Somogyapáti","Kis Péter Zoltán","Független","Kis Péter Zoltán","Független","község","Baranya","Szigetvári","1070",509,"222",1,"LHHK",1
"2451","Somogyaracs",NA,NA,"Traxler Balázs","Független","község","Somogy","Barcsi","770",212,"86",1,"LHHK",1
"2452","Somogyaszaló","Hideg Attila","Fidesz - Magyar Polgári Szövetség","Fajcsi János","Független","község","Somogy","Kaposvári","2212",715,"287",0,"HH",1
"2453","Somogybabod","Káldi László","Fidesz - Magyar Polgári Szövetség","Csima Sándor","Független","község","Somogy","Fonyódi","1058",489,"240",0,"HH",2
"2454","Somogybükkösd","Győrfy Miklós","Független","Győrfy Miklós","Független","község","Somogy","Csurgói","1180",94,"78",0,"LHHK",1
"2455","Somogycsicsó","Kovács Sándor","Független","Faggyas József","Független","község","Somogy","Csurgói","1238",153,"98",0,"LHHK",1
"2456","Somogydöröcske","Zoltán Péter","Független","Sipos Valéria","Független","község","Somogy","Tabi","1083",129,"102",0,"LHH",1
"2457","Somogyegres","Berta János","Független","Jaksó Józsefné","Független","község","Somogy","Tabi","1081",198,"132",0,"LHH",1
"2458","Somogyfajsz","Sall István","Független","Sall István","SOMOGYÉRT EGYESÜLET","község","Somogy","Marcali","1826",552,"221",1,"HH",1
"2459","Somogygeszti","Csór Zoltán","Független","Marton Rudolf","Független","község","Somogy","Kaposvári","2171",478,"209",1,"HH",1
"2460","Somogyhárságy","Fáth József László","Független","Fáth József","Független","község","Baranya","Szigetvári","3097",439,"216",1,"LHHK",1
"2461","Somogyhatvan","Tóth Lajos József","Független","Tóth Lajos József","Független","község","Baranya","Szigetvári","1352",353,"147",1,"LHHK",1
"2462","Somogyjád","Lőrinczné Kiss Ilona","Független","Lőrinczné Kiss Ilona","Független","község","Somogy","Kaposvári","2506",1569,"568",1,"HH",1
"2463","Somogymeggyes","Weisz József","Független","Weisz József","Független","község","Somogy","Tabi","1565",504,"242",0,"LHH",1
"2464","Somogysámson","Fazekas Ede Máté","Független","Somogyi-Magyar József","Független","község","Somogy","Marcali","2177",742,"283",1,"HH",1
"2465","Somogysárd","Fentős Zoltán","Független","Csikós-Nagy Márton","Független","község","Somogy","Kaposvári","3636",1250,"514",1,"HH",1
"2466","Somogysimonyi","Kovács Imréné","Független","Kovács Imréné","Független","község","Somogy","Marcali","1582",94,"37",0,"HH",1
"2467","Somogyszentpál","Berényi Sándor","Független","Berényi Sándor","Független","község","Somogy","Marcali","2896",748,"374",1,"HH",1
"2468","Somogyszil","Sámoly Ferenc","Fidesz - Magyar Polgári Szövetség","Sámoly Ferenc","Független","község","Somogy","Kaposvári","3846",719,"369",0,"HH",1
"2469","Somogyszob","Eller János","Független","Eller János","Független","község","Somogy","Nagyatádi","4008",1567,"645",1,"HH",1
"2470","Somogytúr","Müller Tibor","Fidesz - Magyar Polgári Szövetség","Müller Tibor","Független","község","Somogy","Fonyódi","3530",445,"198",0,"HH",2
"2471","Somogyudvarhely","Kiss Kornél","Fidesz - Magyar Polgári Szövetség","Tóth László","Független","község","Somogy","Csurgói","4042",1066,"457",0,"LHHK",1
"2472","Somogyvámos",NA,NA,"Böröcz János","Független","község","Somogy","Lengyeltóti","2502",782,"327",1,"LHHK",1
"2473","Somogyvár","Móring József Attila","Fidesz - Magyar Polgári Szövetség","Móring József Attila","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Somogy","Lengyeltóti","5299",1909,"729",0,"LHHK",1
"2474","Somogyviszló","Czupor Zoltánné","Független","Bérces Mihály Kálmán","Független","község","Baranya","Szigetvári","1263",254,"111",0,"LHHK",1
"2475","Somogyzsitfa","Nagy László  Ottó","Független","Nagy László (Ottó)","Független","község","Somogy","Marcali","2722",653,"312",0,"HH",1
"2476","Somoskőújfalu","Lichner András Gyula","Független","Lichner András","Független","község","Nógrád","Salgótarjáni","233",2186,"1071",0,"LHH",1
"2477","Sonkád","Bandics Zsigmond","MAGYAR SZOCIALISTA PÁRT","Bandics Zsigmond","MAGYAR SZOCIALISTA PÁRT","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1981",678,"248",0,"LHHK",1
"2478","Soponya","Béndek József","Független","Hollósi László","Független","nagyközség","Fejér","Abai","4996",2040,"695",0,NA,NA
"2479","Sopron","Fodor Tamás","Fidesz - Magyar Polgári Szövetség","FODOR TAMÁS","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","megyei jogú város","Győr-Moson-Sopron","Sopron-Fertődi","16901",60755,"25548",1,NA,NA
"2480","Sopronhorpács","Talabér Jenő","Független","Talabér Jenő","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","2069",809,"327",0,NA,NA
"2481","Sopronkövesd","Fülöp Zoltán","Független","Egyházi István","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","2680",1182,"467",0,NA,NA
"2482","Sopronnémeti","Bognár Sándor","Fidesz - Magyar Polgári Szövetség","Bognár Sándor","Független","község","Győr-Moson-Sopron","Csornai","709",258,"126",0,"HH",2
"2483","Sorkifalud","Erős Zoltán","Független","Erős Zoltán","Független","község","Vas","Szombathelyi","1737",670,"269",0,NA,NA
"2484","Sorkikápolna","Nárai László","Független","Babos László","Független","község","Vas","Szombathelyi","886",277,"103",0,NA,NA
"2485","Sormás","Póczai Zoltán József","Független","Póczai Zoltán József","Független","község","Zala","Nagykanizsai","1637",883,"320",1,NA,NA
"2486","Sorokpolány","Antal Lászlóné","Független","Antal Lászlóné","Független","község","Vas","Szombathelyi","1329",855,"284",1,NA,NA
"2487","Sóshartyán","Tóth Gabriella Julianna","Független","Tóth Gabriella Julianna","Független","község","Nógrád","Salgótarjáni","1214",955,"303",1,"LHH",1
"2488","Sóskút","König Ferenc","Független","König Ferenc","Független","község","Pest","Budaörsi","2767",3214,"1133",0,NA,NA
"2489","Sóstófalva","Sztrakon Béla","Független","Sztrakon Béla","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","728",254,"112",0,"LHHK",1
"2490","Sósvertike","Böröcz Zsolt","Független","Kelemen Árpád","Független","község","Baranya","Sellyei","660",180,"81",1,"LHHK",1
"2491","Sótony","Vörös István","Független","Vörös István","Független","község","Vas","Sárvári","1493",614,"287",0,NA,NA
"2492","Söjtör","Baksa István","Független","Baksa István","Független","község","Zala","Zalaegerszegi","3616",1536,"654",1,NA,NA
"2493","Söpte","Danka Lajos","Független","Komláti László","Független","község","Vas","Szombathelyi","1398",820,"277",0,NA,NA
"2494","Söréd","Végh Rudolf","Független","Takács Mártonné","Független","község","Fejér","Móri","625",502,"204",0,NA,NA
"2495","Sukoró","Mészárosné Hegyi Gyöngyi Éva","Független","Molnár Gábor","Független","község","Fejér","Gárdonyi","1627",1237,"459",0,NA,NA
"2496","Sumony","Orsós József","Független","Lucza János","Független","község","Baranya","Szentlőrinci","2021",418,"174",1,"HH",1
"2497","Súr","Sógorka Miklós","Független","Sógorka Miklós","Független","község","Komárom-Esztergom","Kisbéri","3737",1230,"517",0,"HH",1
"2498","Surd","Kanász János","Független","Kanász János","Független","község","Zala","Nagykanizsai","2194",635,"247",0,NA,NA
"2499","Sükösd","Tamás Márta","Fidesz - Magyar Polgári Szövetség","Lógó András","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","nagyközség","Bács-Kiskun","Bajai","9418",3721,"1553",1,"HH",2
"2500","Sülysáp","Horinka László","Fidesz - Magyar Polgári Szövetség","Horinka László","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","nagyközség","Pest","Nagykátai","4719",8244,"2926",0,NA,NA
"2501","Sümeg","Rátosi Ferenc","Független","Rédei Zsolt","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Veszprém","Sümegi","6413",6226,"2546",1,"HH",1
"2502","Sümegcsehi","Farkas Zsolt","Független","Farkas Zsolt","Független","község","Zala","Zalaszentgróti","1744",620,"247",0,"HH",1
"2503","Sümegprága","Csőbör Károly","Független","Hujber János","Független","község","Veszprém","Sümegi","579",618,"248",0,"HH",1
"2504","Süttő","Czermann János","Független","Czermann János","Független","község","Komárom-Esztergom","Esztergomi","3436",2002,"794",0,NA,NA
"2505","Szabadbattyán","Mátrai Csaba","Független","Borsó Pál","Független","nagyközség","Fejér","Székesfehérvári","3366",4557,"1565",0,NA,NA
"2506","Szabadegyháza","Schmitsek József","Független","Schmitsek József","MAGYAR SZOCIALISTA PÁRT","község","Fejér","Adonyi","4164",2176,"791",0,NA,NA
"2507","Szabadhídvég","Pap László","Független","Harai Zoltánné","POLGÁRMESTEREK FEJÉR MEGYÉÉRT","község","Fejér","Enyingi","4410",838,"409",0,"HH",1
"2508","Szabadi","Fülöp László","Független","Fülöp László","Független","község","Somogy","Kaposvári","823",287,"128",1,"HH",1
"2509","Szabadkígyós","Balogh József","Fidesz - Magyar Polgári Szövetség","Balogh József","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Békés","Békéscsabai","4556",2768,"1094",0,NA,NA
"2510","Szabadszállás","Báldy Zoltán","Fidesz - Magyar Polgári Szövetség","Balázs Sándor","Független","város","Bács-Kiskun","Kunszentmiklósi","16462",6013,"3082",1,"HH",1
"2511","Szabadszentkirály","Udvari Géza György","Független","Frittmann László","Független","község","Baranya","Szentlőrinci","1269",804,"299",1,"HH",1
"2512","Szabás","Nagy István Béla","Fidesz - Magyar Polgári Szövetség","Nagy István Béla","SOMOGYÉRT EGYESÜLET","község","Somogy","Nagyatádi","1811",662,"196",1,"HH",1
"2513","Szabolcs",NA,NA,"Lakatos Dénes","Független","község","Szabolcs-Szatmár-Bereg","Tiszavasvári","588",396,"202",0,"LHH",1
"2514","Szabolcsbáka","László Józsefné","Független","László Józsefné","Független","község","Szabolcs-Szatmár-Bereg","Kisvárdai","1984",1155,"467",1,NA,NA
"2515","Szabolcsveresmart","Nagy Béla","Független","Nagy Béla","Független","község","Szabolcs-Szatmár-Bereg","Kisvárdai","2295",1675,"578",1,"HH",1
"2516","Szada","Vécsey László","Kereszténydemokrata Néppárt","Vécsey László József","Független","község","Pest","Gödöllői","1672",4519,"1790",0,NA,NA
"2517","Szágy","Zima István","Fidesz - Magyar Polgári Szövetség","Zima István","Kereszténydemokrata Néppárt","község","Baranya","Sásdi","940",139,"62",1,"LHHK",1
"2518","Szajk","Farkas Béla","Független","Farkas Béla","Független","község","Baranya","Mohácsi","1136",859,"321",0,"HH",1
"2519","Szajla","Vincze Imre Istvánné","Független","Vincze Imre Istvánné","Független","község","Heves","Pétervásárai","870",637,"275",1,"LHH",1
"2520","Szajol","Szöllősi József","Független","Szöllősi József","Független","község","Jász-Nagykun-Szolnok","Szolnoki","3697",3795,"1555",0,NA,NA
"2521","Szakácsi","Feketéné Bisztrán Ilona Mária","Fidesz - Magyar Polgári Szövetség","Feketéné Bisztrán Ilona Mária","Független","község","Borsod-Abaúj-Zemplén","Edelényi","862",137,"82",1,"LHHK",1
"2522","Szakadát","Laszk Gábor","Független","Laszk Gábor","Független","község","Tolna","Tamási","1070",248,"146",0,"LHHK",1
"2523","Szakáld","Barnóczki Károly","Független","Treznai István","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1140",531,"227",0,"HH",4
"2524","Szakály","Törő Péter","Független","Balogh Árpádné","Független","község","Tolna","Tamási","4101",1505,"627",1,"LHHK",1
"2525","Szakcs","Braun Attila","Független","Récsei Gábor","Független","község","Tolna","Dombóvári","5579",886,"488",1,"HH",1
"2526","Szakmár","Tóth Jenő","Független","Tóth Jenő","Független","község","Bács-Kiskun","Kalocsai","7464",1139,"618",0,"HH",1
"2527","Szaknyér","Hada Ibolya","Független","Hada Ibolya","Független","község","Vas","Őriszentpéteri","293",57,"40",0,"HH",1
"2528","Szakoly","Szűcs Gabriella","Független","Szűcs Gabriella","Független","község","Szabolcs-Szatmár-Bereg","Nagykállói","4144",2750,"1029",1,"HH",1
"2529","Szakony","Farkas Gyula István","Független","Farkas Gyula","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1350",424,"240",1,NA,NA
"2530","Szakonyfalu","Császár Tamás István","Független","Csrenkó Antal","Független","község","Vas","Szentgotthárdi","1119",352,"139",1,NA,NA
"2531","Szákszend","László Kálmán","Független","László Kálmán","Független","község","Komárom-Esztergom","Oroszlányi","3593",1503,"649",0,"HH",2
"2532","Szalafő","Lugosi Arnold József","Független","Lugosi Arnold","Független","község","Vas","Őriszentpéteri","2737",208,"149",0,"HH",1
"2533","Szalánta","Dunai Zoltán Tibor","Független","Dunai Zoltán Tibor","Független","község","Baranya","Pécsi","1708",1216,"421",1,NA,NA
"2534","Szalapa","Kiss Csaba","Független","Sámel József","Független","község","Zala","Zalaszentgróti","452",199,"93",0,"HH",1
"2535","Szalaszend","Verpecz István","Független","Verpecz István","Független","község","Borsod-Abaúj-Zemplén","Encsi","1826",1108,"382",1,"LHHK",1
"2536","Szalatnak","Bregó János","Független","Radics József","Független","község","Baranya","Komlói","1028",343,"171",1,"HH",1
"2537","Szálka","Pálfi János","Független","Pálfi János","Független","község","Tolna","Szekszárdi","1708",597,"261",0,NA,NA
"2538","Szalkszentmárton","Káposztás Tibor","Független","Aranyi János","Független","község","Bács-Kiskun","Kunszentmiklósi","8208",2879,"1279",1,"HH",1
"2539","Szalmatercs",NA,NA,"Szentes Dezső","Független","község","Nógrád","Salgótarjáni","758",490,"194",1,"LHH",1
"2540","Szalonna","Hankó Gyula Attila","Független","Hankó Gyula","Független","község","Borsod-Abaúj-Zemplén","Edelényi","2008",1027,"366",1,"LHHK",1
"2541","Szamosangyalos","Erdős Albert","Fidesz - Magyar Polgári Szövetség","Erdős Albert","Független","község","Szabolcs-Szatmár-Bereg","Csengeri","804",494,"204",1,"LHHK",1
"2542","Szamosbecs","Gaál Sándor","Független","Gaál Sándor","Független","község","Szabolcs-Szatmár-Bereg","Csengeri","671",355,"167",1,"LHHK",1
"2543","Szamoskér",NA,NA,"Tóth Sándorné","Független","község","Szabolcs-Szatmár-Bereg","Mátészalkai","971",409,"191",1,"LHHK",1
"2544","Szamossályi",NA,NA,"Biróné Dienes Csilla","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1157",660,"343",0,"LHHK",1
"2545","Szamostatárfalva","Gaál Vilma","Kereszténydemokrata Néppárt","Porkoláb Dániel","Független","község","Szabolcs-Szatmár-Bereg","Csengeri","450",318,"132",1,"LHHK",1
"2546","Szamosújlak","Joó Károly","Független","Bajnay Sándorné","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","527",399,"197",0,"LHHK",1
"2547","Szamosszeg",NA,NA,"Oláh János Miklós","Független","község","Szabolcs-Szatmár-Bereg","Mátészalkai","3530",1807,"734",1,"LHHK",1
"2548","Szanda","Rugáné Pongrácz Mária Anna","Független","Rugáné Pongrácz Mária Anna","Független","község","Nógrád","Balassagyarmati","2149",605,"420",1,"HH",2
"2549","Szank","Patkós Zsolt","Fidesz - Magyar Polgári Szövetség","Patkós Zsolt","Független","község","Bács-Kiskun","Kiskunmajsai","7483",2408,"1168",1,"HH",1
"2550","Szántód","Dolgos János","Fidesz - Magyar Polgári Szövetség","Dolgos János","Független","község","Somogy","Balatonföldvári","791",378,"272",0,"HH",2
"2551","Szany","Németh Gergely","Független","Németh Gergely","Független","nagyközség","Győr-Moson-Sopron","Csornai","3413",2064,"1001",1,"HH",2
"2552","Szápár","Bálintné Schmidt Ildikó","Független","Bálint Sándor","Független","község","Veszprém","Zirci","709",498,"198",0,NA,NA
"2553","Szaporca","Kovács János","Független","Kovács János","Független","község","Baranya","Siklósi","965",246,"99",0,"HH",1
"2554","Szár","Moharos Péter","Független","Garán Éva","Független","község","Fejér","Bicskei","2263",1651,"589",0,NA,NA
"2555","Szárász","Simon Péter","Független","Simon Péter","Független","község","Baranya","Komlói","598",27,"37",0,"HH",1
"2556","Szárazd","Budai Mária","Független","Budai Mária","Független","község","Tolna","Tamási","778",250,"136",0,"LHHK",1
"2557","Szárföld","Horváth Ferenc","Fidesz - Magyar Polgári Szövetség","Horváth Ferenc","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Győr-Moson-Sopron","Kapuvár-Beledi","1712",913,"408",0,NA,NA
"2558","Szárliget","Mezei Ferenc","Független","Andráska Gyula","Független","község","Komárom-Esztergom","Tatabányai","1456",2273,"822",0,NA,NA
"2559","Szarvas","Babák Mihály","Fidesz - Magyar Polgári Szövetség","Babák Mihály","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Békés","Szarvasi","16157",17181,"7549",1,"HH",1
"2560","Szarvasgede","Kovács Ottó Béla","Független","Tóth Jánosné","Független","község","Nógrád","Pásztói","999",420,"215",0,"HH",1
"2561","Szarvaskend",NA,NA,"Hegedüs Balázs","Független","község","Vas","Körmendi","1034",216,"126",0,NA,NA
"2562","Szarvaskő","Barta Győző","Független","Barta Győző","Független","község","Heves","Egri","1259",382,"156",0,NA,NA
"2563","Szászberek","Alapi József","Független","Vasas Zsuzsanna","Független","község","Jász-Nagykun-Szolnok","Szolnoki","3922",983,"424",0,NA,NA
"2564","Szászfa",NA,NA,"Sirokiné Kőszegi Erzsébet","Független","község","Borsod-Abaúj-Zemplén","Encsi","1213",128,"85",1,"LHHK",1
"2565","Szászvár","Bék János Sándor","Független","Bék János Sándor","Független","nagyközség","Baranya","Komlói","2117",2350,"1037",1,"HH",1
"2566","Szatmárcseke","Sarkady Pál István","Fidesz - Magyar Polgári Szövetség","Sarkady Pál István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","3631",1377,"604",1,"LHHK",1
"2567","Szátok","Vezér Attila","Független","Szűcs Lászlóné","Független","község","Nógrád","Rétsági","895",622,"172",1,"HH",2
"2568","Szatta",NA,NA,"Markó Sándor","Független","község","Vas","Őriszentpéteri","601",66,"38",0,"HH",1
"2569","Szatymaz","Kormányos László Péter","Független","Kormányos László Péter","Független","község","Csongrád","Szegedi","5372",4666,"1943",0,NA,NA
"2570","Szava","Palotásné Vörös Julianna","Független","Palotásné Vörös Julianna","Független","község","Baranya","Siklósi","1264",331,"128",1,"HH",1
"2571","Százhalombatta","Vezér Mihály","ÉRTÜNK SZÁZHALOMBATTAI KÖZÉLETI EGYESÜLET","Vezér Mihály","ÉRTÜNK SZÁZHALOMBATTAI KÖZÉLETI EGYESÜLET","város","Pest","Érdi","2806",18615,"7292",0,NA,NA
"2572","Szebény","Kertész Attila","Független","Kertész Attila","Független","község","Baranya","Mohácsi","1437",407,"215",0,"HH",1
"2573","Szécsénke",NA,NA,"Hajzsel Miklós","Független","község","Nógrád","Balassagyarmati","978",212,"126",0,"HH",2
"2574","Szécsény","Stayer László","Fidesz - Magyar Polgári Szövetség","Serfőzőné Dr. Fábián Erzsébet","MAGYAR SZOCIALISTA PÁRT","város","Nógrád","Szécsényi","4583",5765,"2540",1,"LHH",1
"2575","Szécsényfelfalu","Keresztes Imre","Független","Kuris Zoltán","Független","község","Nógrád","Szécsényi","822",451,"227",1,"LHH",1
"2576","Szécsisziget","Dávid István","Független","Dávid István","Független","község","Zala","Lenti","620",228,"105",0,NA,NA
"2577","Szederkény","Hergenrőder János József","Független","Hergenrőder János József","Független","község","Baranya","Mohácsi","1433",1819,"641",0,"HH",1
"2578","Szedres","Kovács János","Fidesz - Magyar Polgári Szövetség","Koleszár Mihály","Független","község","Tolna","Szekszárdi","4631",2308,"804",1,NA,NA
"2579","Szeged","Botka László","MAGYAR SZOCIALISTA PÁRT","Botka László","MAGYAR SZOCIALISTA PÁRT","megyeszékhely, megyei jogú város","Csongrád","Szegedi","28100",170285,"77256",1,NA,NA
"2580","Szegerdő","Horváth János Istvánné","Független","Horváth János Istvánné","Független","község","Somogy","Marcali","546",221,"107",0,"HH",1
"2581","Szeghalom","Macsári József","Független","Macsári József","MAGYAR SZOCIALISTA PÁRT","város","Békés","Szeghalomi","21713",9142,"3928",1,"LHH",1
"2582","Szegi","Horányi Tivadar","Független","Horányi Tivadar Ifj.","Független","község","Borsod-Abaúj-Zemplén","Tokaji","905",311,"138",0,"LHHK",1
"2583","Szegilong","Talárovics László","Független","Talárovics László","Független","község","Borsod-Abaúj-Zemplén","Tokaji","694",200,"120",0,"LHHK",1
"2584","Szegvár","Gémes László","Fidesz - Magyar Polgári Szövetség","Gémes László","Független","nagyközség","Csongrád","Szentesi","8622",4540,"2099",1,"HH",1
"2585","Székely","Faragó György","Fidesz - Magyar Polgári Szövetség","Faragó György","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","1608",1065,"364",1,"LHH",1
"2586","Székelyszabar","Pakusza Zoltán","Független","Pakusza Zoltán","Független","község","Baranya","Mohácsi","1548",600,"263",1,"HH",1
"2587","Székesfehérvár","Cser-Palkovics András","Fidesz - Magyar Polgári Szövetség","Warvasovszky Tihamér","MAGYAR SZOCIALISTA PÁRT","megyeszékhely, megyei jogú város","Fejér","Székesfehérvári","17089",101943,"43293",1,NA,NA
"2588","Székkutas","Szél István","Fidesz - Magyar Polgári Szövetség","Varga Sándor Imre","Független","község","Csongrád","Hódmezővásárhelyi","12399",2362,"1081",0,"HH",1
"2589","Szekszárd","Horváth István","Fidesz - Magyar Polgári Szövetség","Horváth István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","megyeszékhely, megyei jogú város","Tolna","Szekszárdi","9628",33720,"14977",1,NA,NA
"2590","Szeleste","Galántai György","Független","Galántai György","Független","község","Vas","Sárvári","2075",691,"277",0,NA,NA
"2591","Szelevény","Pánczél Ferenc","Független","Pánczél Ferenc","Független","község","Jász-Nagykun-Szolnok","Kunszentmártoni","4539",1073,"587",0,"LHH",1
"2592","Szellő","Wesz Józsefné","Független","Szondi Imre","Független","község","Baranya","Pécsváradi","596",142,"75",0,"HH",1
"2593","Szemely","Fenyvesi Árpád","Független","Kovács Pál","Független","község","Baranya","Pécsi","947",483,"177",0,NA,NA
"2594","Szemenye",NA,NA,"Holler Ferenc","Független","község","Vas","Vasvári","1180",304,"194",0,"HH",1
"2595","Szemere",NA,NA,"Farkas Ferenc","Független","község","Borsod-Abaúj-Zemplén","Encsi","2630",373,"158",1,"LHHK",1
"2596","Szendehely","Hayer Mihály","Független","Hayer Mihály","Független","község","Nógrád","Rétsági","1004",1552,"634",1,"HH",2
"2597","Szendrő","Szaniszló János","Független","Szaniszló János","Független","város","Borsod-Abaúj-Zemplén","Edelényi","5356",4119,"1453",1,"LHHK",1
"2598","Szendrőlád","Vadászi Béla","Független","Joó István Sándorné","Független","község","Borsod-Abaúj-Zemplén","Edelényi","1770",2022,"440",1,"LHHK",1
"2599","Szenna","Salamon Gyula","Fidesz - Magyar Polgári Szövetség","Salamon Gyula","Független","község","Somogy","Kadarkúti","2698",760,"249",1,"LHHK",1
"2600","Szenta","Sashalmi Miklós","Fidesz - Magyar Polgári Szövetség","Berkes Sándor","Független","község","Somogy","Csurgói","6447",380,"172",1,"LHHK",1
"2601","Szentantalfa","Kiss Csaba","Független","Kovács Gábor","Független","község","Veszprém","Balatonfüredi","661",417,"126",0,NA,NA
"2602","Szentbalázs","Sárhegyi Judit","Fidesz - Magyar Polgári Szövetség","Sárhegyi Judit","Független","község","Somogy","Kaposvári","1214",321,"118",0,"HH",1
"2603","Szentbékkálla","Sárvári Attila","Független","Sárvári Attila","Független","község","Veszprém","Tapolcai","1070",185,"105",0,"HH",2
"2604","Szentborbás","Dudás János Márkné","Független","Dudás János Márkné","Független","község","Somogy","Barcsi","747",136,"64",1,"LHHK",1
"2605","Szentdénes","Vidra Sándor","Független","Vidra Sándor","Független","község","Baranya","Szigetvári","1215",320,"134",1,"LHHK",1
"2606","Szentdomonkos","Kovács Zoltán","Független","Sike József Barnabás","Független","község","Heves","Pétervásárai","1840",450,"222",1,"LHH",1
"2607","Szente","Illés Kálmán","Fidesz - Magyar Polgári Szövetség","Illés Kálmán","Független","község","Nógrád","Rétsági","753",339,"158",0,"HH",2
"2608","Szentegát","Gáspár István","Független","Ivanek János","Független","község","Baranya","Szigetvári","2778",420,"179",1,"LHHK",1
"2609","Szentendre",NA,NA,"Dietz Ferenc","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Pest","Szentendrei","4382",25963,"9660",1,NA,NA
"2610","Szentes","Szirbik Imre","MAGYAR SZOCIALISTA PÁRT","Szirbik Imre","MAGYAR SZOCIALISTA PÁRT","város","Csongrád","Szentesi","35325",28780,"12860",1,"HH",1
"2611","Szentgál","Istvánfalvi Sándor Károly","Független","Vecsey Ferenc","Független","község","Veszprém","Veszprémi","9501",2703,"1013",1,NA,NA
"2612","Szentgáloskér","Egerszegi Ferenc","Független","Egerszegi Ferenc","Független","község","Somogy","Kaposvári","2725",526,"248",0,"HH",1
"2613","Szentgotthárd","Huszár Gábor","Független","Viniczay Tibor György","Független","város","Vas","Szentgotthárdi","6773",8839,"3356",1,NA,NA
"2614","Szentgyörgyvár","Ádovics István","Független","Ádovics István","Független","község","Zala","Keszthelyi","1165",313,"160",0,NA,NA
"2615","Szentgyörgyvölgy","Bán Istvánné","Független","Gódor Mihály","Független","község","Zala","Lenti","2958",425,"245",0,NA,NA
"2616","Szentimrefalva","Csonka Sándor","Független","Csonka Sándor","Független","község","Veszprém","Sümegi","1087",208,"101",0,"HH",1
